Movie Name,Genre,Description,Crew,Keywords
Sweetiee Weds NRI,"Comedy, Drama, Romance","A bollywood entertainer with universal issues directed by Keshhav Panneriy, this movie stars Arbaaz Khan, Ashutosh Rana, Himansh Kohli, Manjari Phadnis and Prem Chopra.",,
Mona_Darling,"Horror, Thriller",Sweetie's father wants her daughter to get married to an NRI from England.,,
Ajji,"Crime, Drama","A team of collegians probe the mysterious deaths occurring in their campus wherein the victims die immediately after accepting a friend request on social media from a girl, Mona, who has gone missing.",,
Blue Mountains,"Drama, Family, Musical",Little Manda is found raped and dumped in a trash heap near her slum. Her parents are more concerned with survival than dignity. The cops are powerless to help as the rapist is a local ...                See full summary��,,
"Rangoon
(II)","Action, Drama, History","Just like the changing colors of the Blue Mountains through the changing seasons, the film explores changing human emotions and journeys beyond mere winning or losing in life.",,
Dangal,"Action, Biography, Drama","Julia travels to the Indo-Burma border to perform for the troops during World War II on the insistence of her lover Billimoria, and ends up falling in love with a soldier there, Jemadar.",,
Sultan,"Action, Drama, Romance",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,,
M.S. Dhoni: The Untold Story,"Biography, Drama, Sport","Sultan is a classic underdog tale about a wrestler's journey, looking for a comeback by defeating all odds.",,
Airlift,"Action, Drama, History",The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,,
Rustom,"Crime, Drama, Thriller","When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",,
Ae Dil Hai Mushkil,"Drama, Music, Musical","A naval officer returns home to find out about his wife's affair. Soon, he surrenders after murdering the lover but as the case unfolds, it starts to reveal his hidden intention.",,
Housefull 3,"Action, Comedy, Romance","This story explores love - the shapes it takes, the ways it changes us and the exhilarating and often terrifying ride it takes us on. It is the journey of two characters, Alizeh and Ayan, as they navigate life, love and heartbreak.",,
Shivaay,"Action, Adventure, Crime","A father doesn't want his three daughters to get married. Now, it's up to three men to try to and convince the father that they're a good fit for his daughters.",,
"Fan
(I)","Action, Drama, Thriller",A skilled mountaineer races against time to rescue his mute daughter from the clutches of human traffickers in Bulgaria.,,
Baaghi,"Action, Romance, Thriller",Gaurav's world revolves around the superstar Aryan Khanna. What happens when his passion turns into a dangerous obsession that crosses the fine line?,,
Neerja,"Biography, Drama, Thriller",A martial arts student seeks revenge after the murder of his master.,,
Kapoor & Sons,"Comedy, Drama, Family","The story of courageous Neerja Bhanot, who sacrificed her life while protecting the lives of 359 passengers on Pan Am Flight 73 in 1986 when it was hijacked by a terrorist organization.",,
Dishoom,"Action, Adventure, Comedy",The story about two brothers who visit their dysfunctional family for their grandfather's birthday party.,,
Dear Zindagi,"Drama, Romance","When India's top batsman goes missing in the Middle East, two mismatched cops must team up for a 36-hour manhunt before the cricket final.",,
"Pink
(III)","Crime, Drama, Thriller","Kaira is a budding cinematographer in search of a perfect life. Her encounter with Jug, an unconventional thinker, helps her gain a new perspective on life. She discovers that happiness is all about finding comfort in life's imperfections.",,
Udta Punjab,"Action, Crime, Drama","When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",,
Befikre,"Comedy, Drama, Romance",A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.,,
Mohenjo Daro,"Action, Adventure, Drama","It is a carefree love story of Dharam and Shyra, who find love in an engaging series of experiences. Doused in the spirit of Paris, it celebrates a sensual and free-spirited love.",,
Ki & Ka,"Comedy, Romance","In 2016 BC, a kind farmer leads an uprising in the city of Mohenjo Daro.",,
"Wazir
(I)","Action, Crime, Drama","Follows a young, married couple whose relationship challenges the gender roles placed upon women and men in Indian society.",,
A Flying Jatt,"Action, Adventure, Comedy",A grief-stricken cop and an amputee grandmaster are brought together by a peculiar twist of fate as part of a wider conspiracy that has darkened their lives.,,
Mastizaade,Comedy,"Jatt is a reluctant superhero who fights crime and protects people. He meets his match in the evil Raka, who he must vanquish to save the day.",,
