Movie Name,Genre,Description,Crew,Keywords
Force 2,"Action, Adventure, Thriller",Sunny Kele and Aditya Chothia are two spoiled bachelors who are sex addicts. Their life takes an unexpected turn after they meet twin sisters Lily and Laila who treat sex addicts at their clinic.,,
Ghayal Once Again,"Action, Crime, Drama",ACP Yashvardhan teams up with RAW Agent KK to bring down the mole within RAW.,,
Azhar,"Biography, Drama, Sport","When a video of his mentor's murder surfaces, an investigative journalist takes action to find those responsible.",,
Kahaani 2,"Mystery, Thriller","Biographical sports drama based on the life of former Indian international cricketer, Mohammad Azharuddin",,
Jai Gangaajal,"Crime, Drama",A woman with a mysterious past is charged with kidnapping and murder.,,
Baar Baar Dekho,"Action, Comedy, Drama",A newly appointed Senior Inspector finds herself against very powerful goons and having people from her own department against her.,,
Raaz Reboot,"Horror, Mystery, Romance",The highs and lows of a romantic relationship are examined through flashbacks and flash-forwards.,,
Kyaa Kool Hain Hum 3,Comedy,"The fourth installment of a horror series that explores secrets, mysteries and human frailties.",,
Happy Bhag Jayegi,"Comedy, Romance","A porn actor uses his fellow adult movie stars in creating a fake traditional family, in order to impress his girlfriend's conservative father.",,
"Akira
(I)","Action, Thriller","After fleeing an arranged marriage, a feisty Indian woman finds herself stranded in Pakistan where the ex-governor's son helps reunite her with her boyfriend.",,
Sarbjit,"Biography, Drama","A gripping action thriller about a college girl Akira, who has grown up with the ideals of being self reliant. Her life spirals out of control when she becomes unwittingly involved in a crime involving four corrupt police officers.",,
Sanam Re,"Drama, Romance","Biopic of Sarabjit Singh, a farmer residing at Bhikiwind, Punjab, near the Indo-Pak border, crossed the border after having a couple of drinks. However, he was mistaken to be an Indian spy and was sentenced with capital punishment.",,
Rocky Handsome,"Action, Crime, Drama",A man focused on his career finds solace when he reunites with his childhood sweetheart.,,
Fitoor,"Drama, Romance",A reclusive pawn shop owner sets his sights on revenge when vicious gangsters kidnap his drug-addicted neighbor's young daughter.,,
Te3n,"Crime, Drama, Mystery",Modern adaptation of Charles Dickens' Great Expectations; a poor but talented boy falls in love with a girl from an affluent family.,,
Madaari,"Drama, Thriller",2010-2019 Bollywood Movies,,
1920 London,"Horror, Mystery","When Nirmal loses his family in a disaster caused by government corruption, he embarks on a journey seeking accountability and revenge.",,
Freaky Ali,"Comedy, Sport","After her husband is possessed by an evil spirit, a woman turns to her former lover to perform an exorcism.",,
Teraa Surroor,"Action, Drama, Romance",A debt collector becomes a golfing sensation.,,
Great Grand Masti,"Comedy, Drama, Fantasy","Tara Wadia (Farah Karimaee), a singer and girlfriend of a gangster Raghu (Himesh Reshammiya) lives with her mother (Shernaz Patel). She goes to Dublin where she gets detained after being ...                See full summary��",,
Rock On 2,"Drama, Music","Amar, Meet and Prem go into a small town where they encounter a 'femme fatale' in the form of Ragini. Ragini is everything they had dreamed of, but she slowly turns into their worst nightmare!",,
Mirzya,"Action, Drama, Fantasy","The band, Magik reunites with some new members.",,
Wajah Tum Ho,"Drama, Mystery, Romance","A horse groom reconnects with his childhood love, but she is engaged to marry the local prince.",,
Sanam Teri Kasam,"Drama, Musical, Romance",People get entangled in a mystery when a murder is committed on live television.,,
Banjo,"Action, Drama, Music","After being disowned by her family, an awkward librarian relies on the help of her brooding neighbour.",,
Veerappan,"Action, Biography, Crime","A banjo player seeks fame, success and respect.",,
Raman Raghav 2.0,"Crime, Drama, Thriller","Officer Kannan leads a group of police officers to track down the bandit, Veerappan.",,
Do Lafzon Ki Kahani,"Action, Drama, Romance","Ramanna, a maniac murderer, finds a soulmate in Raghavan, a policeman, who inspects his murder cases. He tries to make Raghavan realize how they both are similar.",,
Nil Battey Sannata,"Drama, Family",Centered on ex-mixed martial arts artist Sooraj (Randeep Hooda) and sculptor artist Jenny (Kajal Aggarwal). Their fate intertwines when their past are revealed in their blooming relationship.,,
Tutak Tutak Tutiya,"Comedy, Horror",A story about a single woman (a Mom) and dreams on her Daughter.,,
Tum Bin 2,"Drama, Romance",The Hindi version of the trilingual horror-comedy wherein a husband finds out his wife is possessed. The Telugu version is Abhinetri (2016) and the Tamil version is Devi (2016),,
Junooniyat,"Drama, Romance","After a skiing accident, Taran thinks her fiance is dead and grieves for months. Soon, Shekhar enters her life, helps her rediscover happiness, and falls in love with her.",,
Love Games,"Crime, Thriller","Captain Jahan Bakshi rescues a Punjabi girl, Suhani. This starts a friendship that evolves into a passionate love affair.",,
"Traffic
(I)","Adventure, Drama, Thriller",A pair of nymphomaniacs compete in seducing couples to sleep with them.,,
LoveShhuda,"Comedy, Romance",An emotional thriller based on a road trip from Mumbai to Pune. Inspired from the real events that happened in Chennai,,
"One Night Stand
(I)","Drama, Romance","This story is about a man who drinks and wakes up in the morning with a girl whom he does not know. When he gradually starts to fall in love with her, he must choose between love and practicality.",,
Tere Bin Laden: Dead or Alive,Comedy,The story is about Urvil Raisingh and Celina who meet at an event and a memorable night later. Returning back home they continue with their lives. The memories of Celina haunt Urvil. What happens next forms the crux of the unfolding drama. One Night Stand explores the hypocritical world we live in. What is it that Urvil wants?,,
"Waiting
(III)","Comedy, Drama",A Bollywood director is hired by an American talent agent to make a film on Osama bin Laden. The plan to use an Osama doppelganger in order to prove his death boomerangs when a Taliban arms dealer hijacks their idea to prove he's alive.,,
"Phobia
(I)","Drama, Mystery, Thriller","While visiting his comatose wife in the hospital, a serene old professor befriends a vibrant young woman whose husband has also fallen into a coma.",,
Aligarh,"Biography, Drama","An agoraphobic young woman, traumatized by past events, finds herself trapped and terrorized in her own home.",,
Saansein: The Last Breath,"Horror, Romance","A gay, linguistic professor living in a small orthodox city must deal with the aftermath of a sting operation that puts his sexual orientation in front of the entire nation.",,
Beiimaan Love,"Drama, Romance, Thriller","Shirin, a singer mysteriously disappears. Abhay looks for Shirin and tries to solve this mysterious incident.",,
Saat Uchakkey,Comedy,A young and ambitious woman's life suddenly comes crashing down when she is betrayed in love. Determined to get revenge she reinvents herself as a successful businesswoman.,,
Days of Tafree,Comedy,"SAAT UCHAKKEY is a comedy caper about 7 petty crooks blundering their way through an exciting gamut of mystery, greed, treachery and running into one riotous crisis after another. Set ...                See full summary��",,
Dhanak,"Comedy, Drama","The movie revolves around the lives of eight friends and their journey of growing up while they face the highs and lows of their relationships, love and romance, the end of their college days and the beginning of a new life.",,
Budhia Singh: Born to Run,"Biography, Drama, Sport","Believing actor and goodwill ambassador Shah Rukh Khan can help her brother get an operation to restore his sight, a 10-year old girl takes her blind 8-year old brother on a trek across Rajasthan in search of the superstar.",,
"Chalk N Duster
(I)",Drama,"A biopic about Budhia Singh, the world's youngest marathon runner whose story garnered controversy and inspiration around the world.",,
Laal Rang,"Comedy, Crime, Drama","CHALK N DUSTER is an emotional journey of two teachers Vidya ( Shabana Azmi) & Jyoti ( Juhi Chawla) , serving at a Mumbai - based High School. Their passion and love for teaching, bonds ...                See full summary��",,
Parched,Drama,The friendship of two men is tested when things go wrong in their blood theft business.,,
Shorgul,Drama,"In the arid landscape of Rajasthan, four women navigate their way through personal and cultural difficulties.",,
31st October,"Action, Drama, History","Based on the innocent friendship between a Hindu boy Raghu and a Muslim girl which rapidly escalates into a political minefield, causing unrest and chaos in Uttar Pradesh.",,
"Fever
(I)","Crime, Mystery","The assassination of Indira Gandhi leads to a slow spread of brutal violence against Sikhs, leaving a Sikh man and his family trapped in endless danger.",,
Santa Banta Pvt Ltd,"Comedy, Crime, Drama","An assassin loses his memory in an accident. He wakes up knowing only his name, and a subconscious memory of a crime he has committed.",,
The Legend of Michael Mishra,"Comedy, Drama",Two friends and their sweet and endearing misadventures and one of these misadventures sees them land in the middle of a kidnapping investigation.,,
7 Hours to Go,"Crime, Thriller","After a life of crime, a notorious kidnapper tries to change his ways and turn over a new leaf to win the heart of the woman he loves.",,
Zubaan,Drama,"The film is a fast paced investigative thriller set in Mumbai, present day. Inspired by true event, the film revolves around a hostage crisis and what happens within 7 hours after that incident.",,
Gandhigiri,Drama,"A young boy wants to become a big shot but after seeing the bad things involved he instead chooses to pursue his passion that is singing, similar to his father.",,
Bollywood Diaries,Drama,"Rai, a staunch follower of Mahatma Gandhi, inspires various people who diverted from the path of righteousness and teaches them the importance of Gandhi's principles.",,
Miss Teacher,Romance,The passionate journey of three Bollywood fanatics who wish to make it big in the industry.,,
M Cream,"Adventure, Comedy, Drama","Rose Dey is the new teacher at the university. She is very attractive and is a nymphomaniac. At the university, Rose meets Tanvesh and an affair begins.",,
Buddha in a Traffic Jam,"Crime, Thriller","A motley crew of university students set out on a journey in pursuit of a mythical form of hash, confronting a series of encounters that begin to unravel the myriad realities of rebellion.",,
Dongri Ka Raja,"Action, Drama, Musical","Vikram, a carefree management student, finds himself entangled in web of conspiracy, lies, and deceit when he launches a successful social media campaign to highlight the plight of the poor in India.",,
Ishq Forever,Romance,Two lovers fall into a passionate love affair in the underworld.,,
Moh Maya Money,"Crime, Drama, Thriller","The film stars Ruhi Singh as Rhea, a free-spirited girl, whose life turns upside down when her father gets appointed as the Prime Minister of India. The fiercely independent Rhea starts to ...                See full summary��",,
Island City,Drama,"A young real-estate broker tries to pull off a huge scam, which goes horribly wrong. To fix everything he involves his begrudging wife leading to an end neither could imagine.",,
Sunshine Music Tours & Travels,Comedy,"A collection of three comic-dramatic stories set in Mumbai. The first is about a diligent office worker who wins the office 'Fun Committee Award', which entitles him to a whole day full of ...                See full summary��",,
Chudail Story,"Horror, Thriller","Sunshine Music Tours And Travels is a 2016 Indian comedy-drama road film, directed by Shailendra Singh and produced by Hayre Entertainment and Percept Pictures. Besides being Singh's ...                See full summary��",,
Fuddu,"Comedy, Drama",A seductive witch kills men by casting a spell on them. A bunch of friends are trapped in a haunted house with mysterious lady. Is she the Chudail?,,
1:13:7 Ek Tera Saath,Horror,"Unable to consumate his marriage, Mohan becomes a social pariah in Mumbai's cramped living conditions, where privacy is a luxury not everyone can afford.",,
"Anna, Kisan Baburao Hazare",Biography,This story is about paranormal activities happening around us in our daily life which sometimes gets noticed and at times not.,,
"Dear Dad
(I)","Drama, Family","Anna, Kisan Baburao Hazare is a biopic based on the life accounts of social crusader, popularly known as Anna in the country. The film depicts the journey of barely educated common man, ...                See full summary��",,
Gali Guleiyan,"Drama, Thriller","Dear Dad is a bittersweet coming of age story; involving a father-son duo 14 year old Shivam, and his 45 year old dad Nitin Swaminathan. The father-son duo embarks on an impromptu road trip...                See full summary��",,
Bajrangi Bhaijaan,"Action, Adventure, Comedy",The film is a psychological drama about a man who is trapped within the city walls and in his own mind. He attempts to break free to find a human connection.,,
Prem Ratan Dhan Payo,"Action, Drama, Musical",An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,,
Bajirao Mastani,"Action, Drama, History","While recovering from an assassination attempt four days before his coronation, a stern prince is replaced by a romantic lookalike.",,
Tanu Weds Manu Returns,"Comedy, Drama, Romance","An account of the romance between the Maratha general, Baji Rao I and Mastani, princess of Bundelkhand.",,
Dilwale,"Action, Comedy, Drama",Tanu and Manu's marriage collapses. What happens when Manu meets Tanu's lookalike Kusum - and when Tanu returns?,,
Any Body Can Dance 2,"Biography, Drama, Music","The younger siblings of two estranged lovers fall for each other, unaware of the violent past that drove the elder ones apart.",,
Welcome Back,"Action, Comedy, Crime","Based on the true story of the Fictitious Dance group; their rise to fame, sudden downfall, and their heroic attempt to seek vindication by regaining their lost pride and glory.",,
"Baby
(I)","Action, Crime, Thriller","A pair of reformed gangsters try to find a husband for their newly discovered sister, but complications arise due to mistaken identities.",,
Gabbar Is Back,"Action, Crime, Drama","An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",,
"Brothers
(I)","Action, Drama, Sport","After a vengeful college professor targets corruption in the government, he adopts the name ""Gabbar"" and becomes a hero to a weary public.",,
Piku,"Comedy, Drama","After living many years together, two brothers discover that they are not blood related so square off in a mixed martial arts tournament to determine whose blood is stronger.",,
Dil Dhadakne Do,"Comedy, Drama, Romance","A quirky comedy about the relationship between a daughter and her aging father, whose eccentricities drive everyone crazy.",,
Tamasha,"Comedy, Drama, Romance",The Mehra family must contemplate over their way of living and their love lives while on a cruise celebrating their 30th wedding anniversary.,,
Drishyam,"Crime, Drama, Mystery","A boy meets a girl, in Corsica. They decide not to reveal their real name or personality.",,
Pyaar Ka Punchnama 2,"Comedy, Drama, Romance","Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",,
"Phantom
(I)","Action, Drama, Thriller","After falling in love, three roommates experience changes in their lives.",,
Hate Story 3,"Drama, Thriller",A disgraced Indian soldier carries out a series of assassinations in the hope of restoring his honour.,,
Badlapur,"Action, Crime, Drama",Siya appears to be the bone of contention between warring businessmen Aditya and Saurav. But this one runs deeper than your average love triangle.,,
Roy,"Drama, Romance",Raghu begins walking a fine line between good and evil as he exacts violent revenge on two criminals who killed his family 15 years ago.,,
Shaandaar,"Comedy, Drama, Romance","Successful film-maker Kabir meets with Ayesha and falls in love. He suffers a heartbreak when she leaves him. Meanwhile, a thief named Roy undergoes a change of heart when he experiences love.",,
Tevar,"Action, Drama, Romance","In the backdrop of a destination wedding in London, two families try to save their respective empires, unbeknownst to each other.",,
Hamari Adhuri Kahani,"Drama, Romance","Caught in the middle of a lethal unrequited love, an athlete protects a young woman from an unwanted marriage.",,
"Hero
(V)","Action, Drama, Musical","A single mother finds solace with a wealthy, but lonely hotel magnate, together they find love until her past comes back to confront her.",,
NH10,"Action, Crime, Drama","A boy and a girl find themselves stuck in a whirlpool of such intense love that they would do anything, go to any extent and face all odds for the one they love.",,
Dum Laga Ke Haisha,"Comedy, Drama, Romance","On their way to a weekend retreat, a married couple find their dream vacation turn into a nightmare when they cross paths with a dangerous gang.",,
Talvar,"Crime, Drama, Mystery",Prem and his oversized wife Sandhya are supposed to spend a lifetime together. Will a regular arranged marriage turn out to be a perfect mismatch?,,
Detective Byomkesh Bakshy!,"Action, Crime, Drama",An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,,
Ek Paheli Leela,"Mystery, Romance, Thriller",Detective Byomkesh Bakshy is set in the 2nd World War torn Calcutta during the 1940s. Enter a magical world of nostalgia and 'Expect the Unexpected'.,,
Jazbaa,"Action, Crime, Drama","Two lovers, having been denied true love 300 years ago, are reincarnated in order to correct that wrong.",,
Mr. X,"Action, Crime, Drama","Tensions arise when the daughter of nation's best lawyer is kidnapped. Now she'll have to save a rapist from death sentence, as ransom, within 4 days.",,
Katti Batti,"Comedy, Drama, Romance","After gaining the power of invisibility; a man becomes a vigilante, in order to take revenge on those who have wronged him.",,
Kis Kisko Pyaar Karoon,"Comedy, Romance",A romantic comedy that follows Maddy and Payal's live-in relationship until a sudden turn of events creates a distance between them.,,
Bombay Velvet,"Action, Crime, Drama","A comedy or errors, wherein a married man attempts to juggle his three wives along with his current girlfriend.",,
Shamitabh,Drama,An ordinary man goes against all odds and forges his destiny to become a 'Big Shot'.,,
"Alone
(VI)",Horror,"An aspiring actor with the inability to speak, joins forces with a man who has a powerful voice. Together they take the film industry by storm, but will their egos get in the way?",,
Dolly Ki Doli,"Comedy, Romance",A supernatural mystery about a young woman whose dead sister relentlessly haunts her.,,
All Is Well,"Comedy, Drama, Romance",Dolly is a con woman who marries unsuspecting men and on the wedding night runs away with their money. On the case is a police officer and two disgruntled grooms.,,
Khamoshiyan,"Drama, Horror, Romance",A musician finds himself on the run from a group of thugs with his friend and his estranged parents.,,
Hunterrr,"Comedy, Romance","An erotic love triangle revolving around a writer adrift in the icy slopes of Kashmir where he discovers a woman with a strange, silent past.",,
Manjhi: The Mountain Man,"Biography, Drama","Mandar, an ordinary guy is obsessed with sex and chases girls until he meets Tripti and decides to settle down with her.",,
MSG: The Messenger of God,"Action, Comedy, Drama","Using only a hammer and a chisel, a man spends twenty-two years carving a road through a treacherous mountain.",,
Guddu Rangeela,"Comedy, Drama",Guru Ji is a social reformer who works to help people fight against social evils.,,
Dharam Sankat Mein,Comedy,"Two small-town musicians kidnap a young woman in order to make a quick buck, but earn the wrath of a powerful politician in the bargain.",,
Welcome to Karachi,"Action, Comedy, War",2010-2019 Bollywood Movies,,
Ab Tak Chhappan 2,"Action, Crime, Thriller","Two men from India land in Karachi, Pakistan, without their passports. They get trapped by the Taliban and desperately try to find a way to get back to India.",,
Calendar Girls,Drama,A retired policeman returns to his job to fight a crime wave that was once responsible for leaving his son without a mother.,,
Dirty Politics,Drama,The story of five aspiring models who are selected to appear in a photoshoot for a prestigious calendar and what happens to them later.,,
Singh Is Bliing,"Action, Comedy, Romance","In order to gain power, Anokhi Devi blackmails and sleeps with a politician. However, when she goes missing; the CBI step in to investigate.",,
Main Aur Charles,"Action, Biography, Crime",A lazy youth failing to take up any responsibility is sent to work with his father's friend in Goa where he meets a woman who has problems of her own.,,
Bangistan,"Comedy, Drama","After escaping from prison, a notorious serial killer and conman becomes the target of a nationwide manhunt led by an honest police officer determined to catch him.",,
Margarita with a Straw,Drama,"Two blundering terrorists with lofty ideologies, but ordinary talent, are on a mission to change the world.",,
Masaan,Drama,"A rebellious young woman with cerebral palsy leaves her home in India to study in New York, unexpectedly falls in love, and embarks on an exhilarating journey of self-discovery.",,
Hawaizaada,"Biography, Drama","Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies.",,
Second Hand Husband,"Comedy, Romance","The film which is based on the life on an Indian scientist Shivkar Bapuji Talpade, who is credited to have constructed India's first unmanned plane is the tale of the hardships that he went...                See full summary��",,
Dilliwaali Zaalim Girlfriend,"Comedy, Drama","Gurpreet and Rajbir are in love and want to marry each other. The only thing stopping them is the alimony that Rajbir has to pay every month to his ex-wife, Neha. Gurpreet, being a lawyer, ...                See full summary��",,
Angry Indian Goddesses,"Comedy, Drama","Dhruv an aspirant IAS officer, takes a private loan from a company in order to buy a car in order to woo the girl he loves, Sakshi. Soon enough, life turns upside down for him as he is ...                See full summary��",,
Bhaag Johnny,"Action, Fantasy, Thriller",A photographer invites her closest friends to vacation at her family's home in Goa in celebration of her upcoming marriage.,,
Titli,"Action, Crime, Drama","Blackmailed into murdering, a casanova is presented with the opportunity of living two lives. One in which he commits the crime and the other in which he refuses and goes on the run.",,
Guddu Ki Gun,Comedy,"Titli, the youngest member of a car-jacking brotherhood wants to escape the family business. He and his wife form a pact to set free from their family roots. But is escape possible?",,
I Love NY,"Comedy, Romance","Guddu, a salesman, lands in dire trouble when his girlfriend's grandfather casts a spell on him for cheating on her. However, he must find true love to get rid of the curse.",,
Hey Bro,"Action, Comedy, Drama",A beautiful musician and a serious Wall Street banker cross paths and fall in love with each other over one magical New Year's Eve.,,
Ishqedarriyaan,Romance,A villager goes to Mumbai to find his judwa brother. But he finds his judwa brother is opposite to him and the whole movie runs around this.,,
Barkhaa,"Drama, Romance","Ishqedarriyaan is a story about love, sacrifice, family values and relationships. Rishteydarriyaan means relationships and Ishqedarriyaan signifies the relationship when you fall in love! ...                See full summary��",,
Rahasya,"Mystery, Thriller","Follows the relationship between two young minds, which took a unfavorable turn.",,
Charlie Kay Chakkar Mein,Thriller,"A Doctor stands accused of killing his own eighteen-year old daughter. While this aggrieved father protests his innocence, all evidence points towards him irrefutably.",,
Badmashiyaan,"Comedy, Romance","ACP Sanket Pujari and the rookie officer, Sameera sit across the television screen to decipher a rare case of multiple homicides caught on camera and this case is going to test their fundamental perception of truth.",,
Wedding Pullav,"Comedy, Romance","Dev's girlfriend leaves him on the night he was planning to propose to her. Months later, a private investigator is trying to track her down.",,
X: Past Is Present,"Drama, Mystery, Romance",Wedding Pullav shows the story of two best friends Diganth and Anushka Ranjan who are in love but they themselves are unaware of it. When Anushka is invited to attend the wedding of Diganth...                See full summary��,,
Sharafat Gayi Tel Lene,"Comedy, Drama, Mystery",A filmmaker with a mid-life crisis meets a mysterious young girl who reminds of every woman in his past.,,
"Monsoon
(I)","Comedy, Drama, Romance","A mysterious sum of money is credited into Prithvi Khurrana, a commoner's bank account. It is allegedly done by a top notorious don.This forms the crux of the film leading to subsequent comical situations.",,
Kaun Kitney Paani Mein,"Comedy, Drama, Family",The movie revolves around the story of a 15 year old guy who falls in love with a 28 year old lady. The lady is now a widow as her husband who was a forest officer died while he was on duty...                See full summary��,,
Hum Tum Dushman Dushman,"Drama, War","The film wryly expresses the changes in hierarchy, caste and the power equation when water, the most important resource, vanishes and how the oppressed become the oppressors. The story is ...                See full summary��",,
Four Pillars of Basement,"Action, Mystery, Thriller",An Indian soldier gets stuck in no man's land along with his Pakistani counterpart. They disregard their differences as they join forces to save the life of a Kashmiri boy who steps onto a mine.,,
The Silent Heroes,"Adventure, Drama, Family",FBI comes at the end to do investigation. ..... Another big tycoon intervenes to secure his position,,
Time Out,"Drama, Family, Music","The story of 13 Real deaf children and their heroism, passion and humanity.",,
Ranbanka,Action,"Years of friendship, laughter and love shared between two brothers faces the music when a 14 year old boy is confronted with the complexities of a simple relationship.",,
Bezubaan Ishq,"Musical, Romance",A non-violent engineer resorts to violence after his attempts to save his family from a local goon result in his son's murder.,,
Kaagaz Ke Fools,Comedy,"The film has been shot in various parts of India like Jaipur, Jaisalmer and Mumbai. The film is set in a modern milieu with traditional Indian backdrop and values. It revolves around three ...                See full summary��",,
Uvaa,"Comedy, Drama","Revolving around a middle-class family, Kaagaz Ke Fools touches upon the issue of lack of good novel writers.",,
Kuch Kuch Locha Hai,"Comedy, Drama","Ram, Anil, Vikram, Salmaan and Deenbandhu are the rebellious brats of suburban Delhi NCR, with the world at their feet and nothing to worry they stomp everything in their path without ...                See full summary��",,
PK,"Comedy, Drama, Sci-Fi","Praveen Patel, a 45-year-old married businessman, is approached by Shanaya, an actress, who wants to move in with him to prepare for a role. So he pretends to be single to impress her.",,
Queen,"Adventure, Comedy, Drama",An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religious views on people.,,
Kick,"Action, Comedy, Crime",A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,,
"Happy New Year
(I)","Action, Comedy, Crime","An adrenaline junkie walks away from a whirlwind romance and embraces a new life as a thief, though he soon finds himself pursued by veteran police officer and engaged in a turf war with a local gangster.",,
"Bang Bang
(I)","Action, Adventure, Comedy",A gang of amateur dancers takes part in a dancing competition to avenge their personal vendetta.,,
Singham Returns,"Action, Crime, Drama","A young bank receptionist gets mixed up with Rajveer Nanda, a man who has a mysterious background.",,
Jai Ho,"Action, Drama","Owing to the wrongdoings affiliated with evils similar to black money, an honest but ferocious police officer returns as the Deputy Commissioner of Police with the prospect of wiping out injustice.",,
Holiday,"Action, Crime, Thriller","An upright ex-army man, Jai fights a solitary war against corruption and injustice. With a simple mantra to pay forward, he starts off by helping one person and forms an ever growing circle of people helping each other.",,
Ek Villain,"Action, Crime, Drama","A military officer attempts to hunt down a terrorist, destroy a terrorist gang and deactivate the sleeper cells under its command.",,
2 States,"Comedy, Drama, Romance","When his wife becomes the latest victim of a serial killer, Guru blurs the line between good and evil in his pursuit of revenge.",,
Gunday,"Action, Drama, Musical",This movie chronicles how Chetan met his wife and the difficulties they faced due to their cultural differences.,,
Humpty Sharma Ki Dulhania,"Comedy, Drama, Romance","The lives of Calcutta's most powerful Gunday, Bikram and Bala, changes when Nandita enters it. Then a counter-force takes charge and a thriller unfolds.",,
Entertainment,"Action, Comedy, Drama","A girl from Ambala, Kavya Pratap Singh, is about to be married. When she visits Delhi to shop for her 'dhai lakh ka Ghagra, she meets Humpty Sharma, a carefree Delhiite, and falls in love with him.",,
Humshakals,"Comedy, Drama, Romance","Akhil, an underdog and a failure, comes to know that his real father is a rich diamond merchant who has just passed away. When he goes to retrieve his wealth, he learns that a dog has inherited it.",,
"Action Jackson
(I)","Action, Crime, Thriller","A comedy centered around three people who each have a lookalike of a lookalike, all with the same name.",,
Mary Kom,"Action, Biography, Drama","In order to escape crime and clutches of a ruthless mafia, a Bangkok based hit man seeks the help of his lookalike, a Mumbai based goon.",,
Haider,"Action, Crime, Drama","A chronicle of the life of Indian boxer Mary Kom, who went through several hardships before audaciously accomplishing her ultimate dream.",,
Heropanti,"Action, Romance","A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.",,
Main Tera Hero,"Action, Comedy, Romance",Two young people find love despite the violent landscape in which they live.,,
Ragini MMS 2,Horror,"Seenu and Sunaina fall in love with each other when he saves her from a corrupt policeman who wishes to marry her. Meanwhile, Ayesha, a girl Seenu meets on a train journey, wants to marry him.",,
Yaariyan,"Drama, Romance",A sleazy film director's decision to shoot his latest erotic horror movie in a notorious haunted house angers the vengeful spirit of its past inhabitant.,,
Bhoothnath Returns,"Comedy, Drama, Fantasy",A college student must win an inter college competition to save his college from being demolished by property builders.,,
Hasee Toh Phasee,"Comedy, Romance","A ghost returns back from his world to prove something. But on earth, he has something more to do for his country.",,
Shaadi Ke Side Effects,"Comedy, Romance","Nikhil is re-introduced to Meeta nearly ten years after their first meeting. Now, as Nikhil has one week to prove himself worth enough to marry Meeta's sister Karishma, the old acquaintances become quite close to each other.",,
Finding Fanny,"Adventure, Comedy, Drama",A complicated relationship develops between a man and woman after getting married and having a baby.,,
Mardaani,"Action, Crime, Drama",A man embarks on a road trip to find his lost love.,,
Kill Dil,"Action, Comedy, Drama","A female cop Shivani Shivaji Roy, working at a Mumbai Crime Branch, who sets out to confront the mastermind behind a child trafficking mafia.",,
"Highway
(I)","Crime, Drama, Romance","Abandoned when young, Bhaiyaji gives shelter to Dev and Tutu. A game of defiance, deception and love follows when free-spirited Disha enters their life.",,
The Shaukeens,Comedy,"Right before her wedding, a young woman finds herself abducted and held for ransom. As the initial days pass, she begins to develop a strange bond with her kidnapper.",,
Dedh Ishqiya,"Comedy, Drama, Romance",Three friends in their 60s try to do everything that they couldn't do in their younger days - before death arrives.,,
Hate Story 2,"Drama, Thriller",Two lousy crooks find paradise in the seven stages of love.,,
Raja Natwarlal,"Crime, Thriller",A woman takes revenge on a powerful corrupt politician who forcefully abused her and left her for dead.,,
Daawat-e-Ishq,"Comedy, Drama, Romance",A small-time con man seeks assistance from his mentor with the intention of settling scores with a gangster.,,
Khoobsurat,"Comedy, Romance","A story of Gullu, a Hyderabadi girl frustrated with dowry-seeking men and Taru (a charming Lucknawi cook), who crush old-fashioned world-view.",,
The Xpose,"Drama, Mystery, Romance",A hopelessly romantic physiotherapist meets a handsome young Rajput prince who is the complete opposite of her and engaged to someone else.,,
Ungli,"Crime, Drama, Thriller","This is a dramatic chain of events in the most glamorous ,swinging era of Hindi films... the 1960s. It was a decade when film stars tasted success and carried their larger than life screen ...                See full summary��",,
Happy Ending,"Comedy, Romance",A gang of friends decide to take justice into their own hands.,,
"Creature
(I)","Action, Horror, Sci-Fi",A confused writer goes on the search of inspiration for his next story and falls in love with a best seller author who doesn't believe in love.,,
Gulaab Gang,"Action, Drama",A newly-opened forest lodge finds itself under attack from a recently awakened creature.,,
Zid,"Crime, Romance, Thriller",A fearless woman fights social injustice; creating a sanctuary for abused women and battling a crooked politician.,,
Bewakoofiyaan,"Comedy, Drama, Romance","A journalist, who is still in love with his ex-girlfriend, becomes the obsession of his landlord's daughter.",,
Fugly,"Comedy, Drama, Thriller",Bewakoofiyaan is a slice-of life comedy when recession strikes and the lack of money tests love. Is living on love and fresh air really possible?,,
Bobby Jasoos,"Comedy, Drama, Thriller",Four friends fight against a corrupt police officer who extorts money from them for not framing them in a murder which the officer committed himself.,,
Hawaa Hawaai,"Drama, Family, Sport","Bobby Jasoos starring Vidya Balan, is a film that celebrates the aspiration of Bobby, who wants to become the number one detective in the old city area of Hyderabad. The film is directed by...                See full summary��",,
Revolver Rani,"Action, Comedy, Crime",Arjun dreams of skating. Can Arjun follow his dream and be a champion?,,
